% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[5.4211 - 8.7432],Ses05F_script01_3_F000,hap,"[3.5000, 2.0000, 2.5000]","['You', ""'re"", 'the', 'only', 'one', 'I', 'know', 'who', 'loves', 'his', 'parents']"
[11.8580 - 13.6306],Ses05F_script01_3_F001,hap,"[4.0000, 2.5000, 2.5000]","['No', 'it', 'is', 'good']"
[15.3432 - 20.1605],Ses05F_script01_3_F002,hap,"[3.5000, 2.5000, 2.5000]","['It', 'is', 'so', 'lovely', 'here', 'The', 'air', 'is', 'sweet']"
[21.9032 - 26.8707],Ses05F_script01_3_F003,hap,"[4.0000, 2.0000, 3.0000]","['No', 'But', 'I', ""'m"", 'not', 'going', 'to', 'stay']"
[28.6434 - 31.5600],Ses05F_script01_3_F004,xxx,"[2.5000, 2.0000, 3.0000]","['Well', 'your', 'mother', 'has', 'much', 'as', 'told', 'me', 'to', 'leave']"
[31.8182 - 39.2895],Ses05F_script01_3_F005,xxx,"[3.0000, 3.0000, 2.5000]","['Well', 'you', 'saw', 'that', 'And', 'you', 'You', 'have', 'been-']"
[41.1223 - 44.5000],Ses05F_script01_3_F006,sad,"[3.0000, 2.0000, 2.5000]","['Well', 'sort', 'of', 'embarrassed', 'soon', 'as', 'I', 'came']"
[55.0634 - 59.4100],Ses05F_script01_3_F007,xxx,"[3.5000, 2.0000, 3.0000]","['I', 'figured', 'they', 'would-', 'your', 'mother', 'at', 'least']"
[62.5848 - 66.9114],Ses05F_script01_3_F008,neu,"[3.5000, 2.5000, 3.0000]","['Well', 'from', 'her', 'point', 'of', 'view', 'why', 'else', 'would', 'I', 'come']"
[80.2716 - 84.1875],Ses05F_script01_3_F009,hap,"[4.5000, 3.5000, 3.5000]","['I', 'guess', 'this', 'is', 'why', 'I', 'came']"
[121.9347 - 125.1796],Ses05F_script01_3_F010,xxx,"[3.0000, 2.5000, 3.5000]","['Chris', 'I', ""'ve"", 'been', 'ready', 'for', 'a', 'long', 'time']"
