% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[6.6500 - 8.0900],Ses05M_impro03_F000,neu,"[4.0000, 2.6667, 2.0000]",['what']
[10.6700 - 12.8900],Ses05M_impro03_F001,sur,"[4.3333, 3.3333, 2.3333]","['what', 'you', 'did']"
[12.9400 - 13.9600],Ses05M_impro03_F002,exc,"[4.3333, 3.0000, 2.6667]",['when']
[15.9000 - 19.3500],Ses05M_impro03_F003,exc,"[4.0000, 3.3333, 2.6667]","['oh', 'what', 'how', 'where', 'how', 'did', 'you', 'do', 'it']"
[19.6200 - 22.3700],Ses05M_impro03_F004,exc,"[4.0000, 3.3333, 2.6667]","['okay', 'good', 'i', 'i', 'assumed']"
[29.8700 - 31.8200],Ses05M_impro03_F005,hap,"[4.3333, 3.0000, 2.0000]",['oh']
[54.1100 - 55.4900],Ses05M_impro03_F006,neu,"[3.6667, 2.3333, 1.6667]",['uh-huh']
[101.8300 - 106.0700],Ses05M_impro03_F007,exc,"[4.6667, 3.6667, 3.0000]","['oh', 'my', 'god', 'that', 'is', 'so', 'dramatic']"
[106.1400 - 108.3300],Ses05M_impro03_F008,hap,"[4.3333, 3.6667, 3.0000]","['so', 'cute']"
[108.5100 - 111.0100],Ses05M_impro03_F009,hap,"[4.3333, 3.6667, 2.6667]","['no', 'it', 'is', 'totally', 'original', 'though']"
[111.0200 - 112.3300],Ses05M_impro03_F010,hap,"[4.0000, 2.6667, 2.0000]",['oh']
[114.1200 - 117.9500],Ses05M_impro03_F011,hap,"[4.0000, 3.0000, 2.6667]","['oh', 'then', 'you', 'had', 'a', 'whole', 'weekend', 'of', 'camping']"
[121.7200 - 125.3600],Ses05M_impro03_F012,hap,"[4.6667, 4.0000, 2.0000]","['oh', 'right', 'sure', 'laughter']"
[127.3600 - 129.5400],Ses05M_impro03_F013,hap,"[4.0000, 2.3333, 2.3333]","['so', 'where', 'are', 'you', 'going', 'to', 'have', 'your', 'wedding']"
[141.0000 - 143.5800],Ses05M_impro03_F014,exc,"[4.0000, 3.3333, 2.6667]","['yeah', 'of', 'course']"
[144.4300 - 146.2400],Ses05M_impro03_F015,exc,"[4.3333, 3.3333, 2.3333]","['okay', 'okay']"
[151.5200 - 153.3600],Ses05M_impro03_F016,hap,"[4.0000, 2.6667, 2.3333]","['where', 'is', 'she', 'right', 'now']"
[154.3300 - 157.3900],Ses05M_impro03_F017,hap,"[4.0000, 2.3333, 2.3333]","['yeah', 'i', 'hang', 'out', 'with', 'the', 'both', 'of', 'you']"
[158.1800 - 159.3300],Ses05M_impro03_F018,exc,"[4.0000, 3.3333, 3.0000]",['yes']
[159.7300 - 162.7000],Ses05M_impro03_F019,exc,"[4.0000, 3.0000, 2.3333]","['oh', 'i', 'so', 'excited', 'for', 'you']"
[165.7500 - 166.9100],Ses05M_impro03_F020,hap,"[4.3333, 2.3333, 2.3333]",['oh']
[168.0537 - 172.2800],Ses05M_impro03_F021,hap,"[3.6667, 3.0000, 2.6667]","['oh', 'my', 'gosh', 'you', 'told', 'your', 'parents', 'already', 'and', 'everything']"
[172.3900 - 174.6200],Ses05M_impro03_F022,hap,"[4.0000, 3.0000, 2.6667]","['are', 'they', 'so', 'excited']"
[184.7600 - 186.7200],Ses05M_impro03_F023,exc,"[4.0000, 3.3333, 2.6667]","['are', 'you', 'guys', 'gon', 'na', 'have', 'kids']"
[186.9500 - 188.2700],Ses05M_impro03_F024,xxx,"[4.0000, 3.0000, 2.3333]",['yeah']
[188.2800 - 190.6300],Ses05M_impro03_F025,xxx,"[4.0000, 3.3333, 3.0000]","['whoa', 'right', 'away']"
[194.2100 - 196.2700],Ses05M_impro03_F026,neu,"[3.0000, 3.3333, 2.3333]","['are', 'you', 'going', 'to', 'start', 'right', 'away']"
[200.5700 - 204.3000],Ses05M_impro03_F027,neu,"[3.3333, 2.6667, 2.6667]","['yeah', 'have', 'you', 'ever', 'like', 'lived', 'with', 'someone', 'else', 'before']"
[207.0900 - 209.5200],Ses05M_impro03_F028,xxx,"[3.3333, 3.3333, 2.3333]","['oh', 'did', 'you', 'i', 'did', 'not', 'know', 'that']"
[210.2900 - 212.3100],Ses05M_impro03_F029,xxx,"[3.6667, 2.0000, 2.0000]",['oh']
[215.0300 - 216.6500],Ses05M_impro03_F030,neu,"[4.3333, 2.3333, 2.0000]",['oooh']
[217.5400 - 220.6500],Ses05M_impro03_F031,hap,"[4.3333, 2.6667, 2.6667]","['that', 'is', 'incredible', 'yeah', 'congratulations']"
[5.1000 - 7.0500],Ses05M_impro03_M000,exc,"[3.6667, 3.3333, 2.0000]","['guess', 'what']"
[7.7900 - 11.1200],Ses05M_impro03_M001,exc,"[4.0000, 3.6667, 3.0000]","['i', 'did', 'it', 'i', 'asked', 'her', 'to', 'marry', 'me']"
[11.4000 - 13.5200],Ses05M_impro03_M002,exc,"[4.3333, 4.0000, 3.0000]","['yes', 'i', 'did', 'it']"
[13.5400 - 16.1200],Ses05M_impro03_M003,exc,"[4.0000, 3.6667, 2.6667]","['oh', 'my', 'god', 'it', 'was', 'just', 'last', 'weekend']"
[18.0300 - 25.1000],Ses05M_impro03_M004,hap,"[4.0000, 3.6667, 3.3333]","['she', 'well', 'she', 'said', 'yes', 'first', 'of', 'all', 'let', 'me', 'say', 'that', 'right', 'off', 'the', 'bat', 'well', 'i', 'would', 'like', 'to', 'assume', 'too', 'but', 'you', 'never', 'know', 'these', 'things', 'right']"
[25.1100 - 31.5700],Ses05M_impro03_M005,xxx,"[4.0000, 4.0000, 3.0000]","['um', 'but', 'no', 'it', 'was', 'it', 'was', 'great', 'it', 'was', 'really', 'great', 'i', 'think', 'she', 'was', 'really', 'surprised', 'and', 'she', 'was', 'really', 'happy', 'um']"
[31.5800 - 44.0500],Ses05M_impro03_M006,hap,"[4.0000, 3.6667, 3.0000]","['i', 'did', 'it', 'up', 'at', 'yosemite', 'we', 'went', 'camping', 'right', 'like', 'we', 'usually', 'do', 'you', 'know', 'we', 'go', 'camping', 'up', 'there', 'all', 'the', 'time', 'but', 'um', 'the', 'waterfalls', 'had', 'died', 'down', 'a', 'little', 'bit', 'you', 'know', 'and', 'so', 'uh', 'we-i', 'had', 'her', 'climb', 'up']"
[44.0600 - 54.6600],Ses05M_impro03_M007,hap,"[4.0000, 4.0000, 3.0000]","['you', 'know', 'we', 'did', 'some', 'you', 'know', 'some', 'rock', 'climbing', 'up', 'the', 'waterfalls', 'and', 'went', 'up', 'to', 'this', 'little', 'pool', 'that', 'was', 'up', 'there', 'and', 'then', 'it', 'is', 'great', 'um', 'you', 'have', 'to', 'climb', 'this', 'little', 'rock']"
[54.7000 - 65.1400],Ses05M_impro03_M008,hap,"[4.0000, 3.6667, 3.0000]","['and', 'you', 'can', 'climb', 'it', 'and', 'it', 'is', 'covered', 'in', 'algae', 'you', 'know', 'so', 'i', 'wanted', 'her', 'to', 'climb', 'it', 'to', 'go', 'take', 'a', 'picture', 'like', 'back', 'in', 'this', 'little', 'waterfall', 'area', 'and', 'she', 'got', 'back', 'there', 'and', 'she', 'took', 'her', 'picture', 'and', 'then', 'i', 'had', 'her', 'come', 'back', 'and', 'i', 'was', 'going', 'to', 'do', 'the', 'same', 'thing']"
[65.1600 - 78.3600],Ses05M_impro03_M009,hap,"[4.0000, 3.6667, 3.0000]","['well', 'instead', 'i', 'climb', 'up', 'on', 'the', 'rock', 'and', 'like', 'i', 'did', 'not', 'do', 'it', 'well', 'i', 'did', 'it', 'on', 'purpose', 'i', 'made', 'it', 'look', 'like', 'i', 'accidentally', 'did', 'it', 'i', 'slipped', 'down', 'into', 'this', 'pool', 'of', 'water', 'right', 'and', 'she', 'freaks', 'out', 'because', 'i', 'slide', 'all', 'the', 'way', 'down', 'this', 'rock', 'and', 'um']"
[78.3900 - 89.5469],Ses05M_impro03_M010,hap,"[4.0000, 3.6667, 3.0000]","['and', 'i', 'pop', 'up', 'out', 'of', 'the', 'water', 'and', 'i', 'had', 'planned', 'it', 'already', 'you', 'know', 'i', 'pop', 'up', 'out', 'of', 'the', 'water', 'and', 'i', 'breathing', 'and', 'i', 'like', 'grab', 'her', 'hand', 'you', 'know', 'and', 'that', 'in', 'my', 'hand', 'i', 'got', 'the', 'ring']"
[89.5569 - 103.3100],Ses05M_impro03_M011,hap,"[4.3333, 3.6667, 3.0000]","['and', 'she', 'is', 'like', 'she', 'feels', 'it', 'you', 'know', 'and', 'she', 'does', 'not', 'know', 'what', 'it', 'is', 'and', 'she', 'you', 'know', 'helps', 'me', 'get', 'out', 'and', 'i', 'will', 'not', 'let', 'go', 'of', 'her', 'hand', 'and', 'she', 'is', 'like', 'what', 'are', 'you', 'doing', 'i', 'and', 'said', 'you', 'saved', 'my', 'life', 'now', 'will', 'you', 'marry', 'me']"
[104.4300 - 111.7000],Ses05M_impro03_M012,hap,"[4.6667, 4.0000, 3.3333]","['was', 'not', 'that', 'great', 'i', 'did', 'not', 'want', 'it', 'to', 'be', 'too', 'hokey.but', 'but', 'she', 'liked', 'it.she', 'liked', 'it']"
[111.7100 - 115.2200],Ses05M_impro03_M013,hap,"[4.0000, 3.3333, 2.6667]","['yeah', 'and', 'she', 'said', 'yes', 'and', 'she', 'cried', 'of', 'course']"
[116.4700 - 123.1000],Ses05M_impro03_M014,hap,"[4.0000, 3.3333, 2.6667]","['yes', 'we', 'did', 'that', 'in', 'the', 'beginning', 'exactly', 'so', 'we', 'had', 'so', 'we', 'just', 'had', 'you', 'know', 'good', 'times', 'the', 'rest', 'of', 'the', 'weekend', 'yeah']"
[123.1100 - 127.7000],Ses05M_impro03_M015,hap,"[4.3333, 3.3333, 2.3333]","['it', 'was', 'a', 'lot', 'of', 'fun', 'it', 'was', 'a', 'lot', 'of', 'fun', 'she', 'is', 'great', 'and', 'i', 'so', 'happy']"
[128.5600 - 141.3600],Ses05M_impro03_M016,hap,"[4.0000, 2.6667, 2.6667]","['we', 'going', 'to', 'do', 'it', 'back', 'in', 'the', 'midwest', 'where', 'her', 'family', 'all', 'is', 'they', 'are', 'all', 'out', 'there', 'you', 'know', 'so', 'um', 'and', 'so', 'just', 'gon', 'na', 'have', 'a', 'small', 'small', 'wedding', 'but', 'um', 'you', 'know', 'of', 'course', 'you', 'going', 'to', 'come', 'right']"
[141.4200 - 146.0000],Ses05M_impro03_M017,xxx,"[4.0000, 3.0000, 2.6667]","['okay', 'good', 'and', 'uh', 'i', 'want', 'you', 'to', 'be', 'in', 'it', 'actually']"
[146.0100 - 152.7500],Ses05M_impro03_M018,hap,"[4.0000, 3.3333, 2.6667]","['um', 'and', 'she', 'wants', 'you', 'to', 'be', 'in', 'it', 'too', 'she', 'loves', 'you', 'so', 'much', 'she', 'thinks', 'you', 'the', 'sweetest', 'of', 'course', 'you', 'are', 'you', 'you', 'my', 'best', 'friend', 'so']"
[153.0900 - 155.7900],Ses05M_impro03_M019,neu,"[3.0000, 3.0000, 2.6667]","['oh', 'she', 'is', 'back', 'at', 'work', 'yeah']"
[156.5400 - 159.0400],Ses05M_impro03_M020,exc,"[3.6667, 3.3333, 2.6667]","['of', 'course', 'we', 'go', 'out', 'to', 'dinner', 'later', 'this', 'week']"
[159.0700 - 160.1900],Ses05M_impro03_M021,exc,"[4.0000, 2.6667, 2.3333]","['it', 'will', 'be', 'perfect']"
[161.4600 - 165.8500],Ses05M_impro03_M022,xxx,"[4.3333, 3.3333, 3.0000]","['yes', 'me', 'too', 'oh', 'i', 'am', 'so', 'in', 'love']"
[165.8600 - 167.4600],Ses05M_impro03_M023,hap,"[4.3333, 3.0000, 3.0000]","['she', 'is', 'the', 'one']"
[170.9500 - 174.5900],Ses05M_impro03_M024,hap,"[3.6667, 3.3333, 3.0000]","['of', 'course', 'i', 'told', 'them', 'right', 'away', 'we', 'called', 'them', 'all', 'right', 'them']"
[174.6000 - 182.7900],Ses05M_impro03_M025,hap,"[4.0000, 3.3333, 2.6667]","['oh', 'yeah', 'my', 'mom', 'freaking', 'out', 'oh', 'yeah', 'she', 'is', 'so', 'happy', 'this', 'is', 'you', 'know', 'it', 'is', 'her', 'dream', 'come', 'true', 'she', 'always', 'wanted', 'her', 'little', 'boy', 'she', 'wants', 'kids', 'you', 'know']"
